,,6Base_2 Avg:,-0.0333,-0.0329,-0.0203,BASELINE SUBTRACTED,,
Date & Time,Date,Time,PDIT705,PDIT706,PDIT707,PDIT705,PDIT706,PDIT707
12/14/2018 6:49:48.33,12/14/18,06:49:48:33,-0.04452,-0.10504,0.067653,,,
12/14/2018 6:49:48.52,12/14/18,06:49:48:52,-0.04437,-0.10504,0.067613,,,
12/14/2018 6:49:48.72,12/14/18,06:49:48:72,-0.04527,-0.10504,0.067693,,,
12/14/2018 6:49:48.91,12/14/18,06:49:48:91,-0.04437,-0.10504,0.067613,,,
12/14/2018 6:49:49.11,12/14/18,06:49:49:11,-0.04452,-0.10504,0.067613,,,
12/14/2018 6:49:49.41,12/14/18,06:49:49:41,-0.04452,-0.10504,0.067613,,,
12/14/2018 6:49:49.50,12/14/18,06:49:49:50,-0.04422,-0.10504,0.067613,,,
12/14/2018 6:49:49.69,12/14/18,06:49:49:69,-0.04587,-0.10504,0.067653,,,
12/14/2018 6:49:49.90,12/14/18,06:49:49:90,-0.04437,-0.10504,0.067613,,,
12/14/2018 6:49:50.08,12/14/18,06:49:50:08,-0.04482,-0.10504,0.067653,,,
12/14/2018 6:49:50.19,12/14/18,06:49:50:19,-0.04482,-0.10504,0.067653,,,
12/14/2018 6:49:50.47,12/14/18,06:49:50:47,-0.04497,-0.10504,0.067653,,,
12/14/2018 6:49:50.57,12/14/18,06:49:50:57,-0.04497,-0.10508,0.067653,,,
12/14/2018 6:49:50.75,12/14/18,06:49:50:75,-0.04527,-0.10508,0.067613,,,
12/14/2018 6:49:50.97,12/14/18,06:49:50:97,-0.04467,-0.10504,0.067613,,,
12/14/2018 6:49:51.16,12/14/18,06:49:51:16,-0.045121,-0.10504,0.067693,,,
12/14/2018 6:49:51.35,12/14/18,06:49:51:35,-0.04467,-0.10504,0.067613,,,
12/14/2018 6:49:51.64,12/14/18,06:49:51:64,-0.04482,-0.105,0.067613,,,
